,median,mean,std,ci_low,ci_high
F1,0.9393939393939394,0.9417606043019588,0.028436316435995083,0.9375,0.9538461538461539
Balanced_Accuracy,0.9428571428571428,0.9458945233265719,0.025007800100799893,0.9411764705882353,0.9558823529411764
Precision,1.0,0.9981048387096775,0.0075021675674566005,1.0,1.0
MCC,0.9097442829837106,0.9148724122304706,0.038434265003636094,0.908530101301843,0.9310874388089504
Recall,0.8857142857142857,0.8928235294117646,0.05003697806409938,0.8823529411764706,0.9117647058823529
ROC_AUC,0.9428571428571428,0.9458945233265719,0.025007800100799893,0.9411764705882353,0.9558823529411764
F2,0.9393939393939394,0.9417606043019588,0.028436316435995083,0.9375,0.9538461538461539
Specificity,1.0,0.9989655172413794,0.004094600719668255,1.0,1.0
Negative_PV,0.9354838709677419,0.9406556678776061,0.025702688250945634,0.9354838709677419,0.95
