Fold,Classifier,F1,Balanced_Accuracy,Precision,MCC,Recall,ROC_AUC,F2,Specificity,Negative_PV,Best_Params,Repetition
4,LogisticRegression-elastic,0.9552238805970149,0.9571428571428571,1.0,0.931971796017148,0.9142857142857143,0.9571428571428571,0.9552238805970149,1.0,0.95,"{'C': 1.057635839031738, 'l1_ratio': 0.4418842689654364}",7
0,LogisticRegression-elastic,0.9230769230769231,0.9325557809330629,0.967741935483871,0.8834455898821298,0.8823529411764706,0.9325557809330629,0.9230769230769231,0.9827586206896551,0.9344262295081968,"{'C': 16.997837114910503, 'l1_ratio': 0.41349142035619046}",8
1,LogisticRegression-elastic,0.9714285714285714,0.9827586206896552,0.9444444444444444,0.9549227165776376,1.0,0.9827586206896552,0.9714285714285714,0.9655172413793104,1.0,"{'C': 0.8839979649611485, 'l1_ratio': 0.32551550310418337}",8
2,LogisticRegression-elastic,0.9696969696969697,0.9705882352941176,1.0,0.9538364228569945,0.9411764705882353,0.9705882352941176,0.9696969696969697,1.0,0.9666666666666667,"{'C': 0.17896919955488808, 'l1_ratio': 0.327211096580744}",8
3,LogisticRegression-elastic,0.9855072463768116,0.9857142857142858,1.0,0.9770771734902342,0.9714285714285714,0.9857142857142858,0.9855072463768116,1.0,0.9827586206896551,"{'C': 1.150804620539434, 'l1_ratio': 0.6909775615885817}",8
4,LogisticRegression-elastic,0.9714285714285714,0.9769423558897243,0.9714285714285714,0.9538847117794487,0.9714285714285714,0.9769423558897243,0.9714285714285714,0.9824561403508771,0.9824561403508771,"{'C': 1.150804620539434, 'l1_ratio': 0.6909775615885817}",8
0,LogisticRegression-elastic,0.9696969696969697,0.9705882352941176,1.0,0.9538364228569945,0.9411764705882353,0.9705882352941176,0.9696969696969697,1.0,0.9666666666666667,"{'C': 1.484908270545265, 'l1_ratio': 0.6869609259294879}",9
1,LogisticRegression-elastic,0.927536231884058,0.9447261663286004,0.9142857142857143,0.8843103004653615,0.9411764705882353,0.9447261663286004,0.927536231884058,0.9482758620689655,0.9649122807017544,"{'C': 1.2993260957329902, 'l1_ratio': 0.2591395145303327}",9
2,LogisticRegression-elastic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{'C': 1.767173198190131, 'l1_ratio': 0.22163984414320054}",9
3,LogisticRegression-elastic,0.9855072463768116,0.9857142857142858,1.0,0.9770771734902342,0.9714285714285714,0.9857142857142858,0.9855072463768116,1.0,0.9827586206896551,"{'C': 0.4493453002932857, 'l1_ratio': 0.23040439769805807}",9
4,LogisticRegression-elastic,0.927536231884058,0.9395989974937343,0.9411764705882353,0.8843103004653615,0.9142857142857143,0.9395989974937342,0.927536231884058,0.9649122807017544,0.9482758620689655,"{'C': 39.168844860724775, 'l1_ratio': 0.9857062764458482}",9
0,LogisticRegression-elastic,0.9696969696969697,0.9705882352941176,1.0,0.9538364228569945,0.9411764705882353,0.9705882352941176,0.9696969696969697,1.0,0.9666666666666667,"{'C': 36.62076132635569, 'l1_ratio': 0.1609868443425322}",10
1,LogisticRegression-elastic,0.9696969696969697,0.9705882352941176,1.0,0.9538364228569945,0.9411764705882353,0.9705882352941176,0.9696969696969697,1.0,0.9666666666666667,"{'C': 6.959798353817508, 'l1_ratio': 0.9181551072835975}",10
2,LogisticRegression-elastic,0.9696969696969697,0.9705882352941176,1.0,0.9538364228569945,0.9411764705882353,0.9705882352941176,0.9696969696969697,1.0,0.9666666666666667,"{'C': 0.9805766136683519, 'l1_ratio': 0.6314118731919915}",10
3,LogisticRegression-elastic,0.9577464788732394,0.9681704260651629,0.9444444444444444,0.9314513103439134,0.9714285714285714,0.968170426065163,0.9577464788732394,0.9649122807017544,0.9821428571428571,"{'C': 1.3250700619742373, 'l1_ratio': 0.8746602007624199}",10
4,LogisticRegression-elastic,0.9714285714285714,0.9769423558897243,0.9714285714285714,0.9538847117794487,0.9714285714285714,0.9769423558897243,0.9714285714285714,0.9824561403508771,0.9824561403508771,"{'C': 0.8876461905202232, 'l1_ratio': 0.6854263695830997}",10
