,median,mean,std,ci_low,ci_high
F1,0.9428571428571428,0.9409413814449492,0.02544892665167952,0.9393939393939394,0.9558728098637248
Balanced_Accuracy,0.9538847117794487,0.9513437650922438,0.021622543831281465,0.9450594030715734,0.9623120936214775
Precision,0.9451951951951951,0.9525159450251955,0.031030790417544564,0.9428571428571428,0.96875
MCC,0.9086557970896503,0.90762127333826,0.03899093941777984,0.9066937119675457,0.9302708473838961
Recall,0.9411764705882353,0.9311932773109243,0.04183747950167281,0.9142857142857143,0.9428571428571428
ROC_AUC,0.9538847117794486,0.9513437650922438,0.021622543831281486,0.9472616632860039,0.9623120936214775
F2,0.9428571428571428,0.9409413814449492,0.02544892665167952,0.9393939393939394,0.9558728098637248
Specificity,0.9655172413793104,0.9714942528735631,0.019637619972016105,0.9652147610405324,0.9824561403508771
Negative_PV,0.9655172413793104,0.9602077083508237,0.022932456212638123,0.95,0.9666666666666667
