,median,mean,std,ci_low,ci_high
F1,0.9428571428571428,0.9374156572450905,0.030304743880619323,0.935450394354504,0.9552238805970149
Balanced_Accuracy,0.9538847117794487,0.948301097571515,0.025687553669003268,0.9442190669371197,0.9619675456389452
Precision,0.9649014778325123,0.9516954610337973,0.03401487508007234,0.9420168067226891,0.9696969696969697
MCC,0.90814976243037,0.9025601341696177,0.04607804536868548,0.8976016556019089,0.9298479577899943
Recall,0.9411764705882353,0.9254285714285713,0.048384628144287435,0.9117647058823529,0.9428571428571428
ROC_AUC,0.9538847117794486,0.9483010975715149,0.02568755366900327,0.9472616632860039,0.9619675456389452
F2,0.9428571428571428,0.9374156572450905,0.030304743880619323,0.935450394354504,0.9552238805970149
Specificity,0.9824561403508771,0.9711736237144584,0.021314993446633478,0.9655172413793104,0.9827586206896551
Negative_PV,0.9655172413793104,0.9570440035831804,0.02636275739499197,0.95,0.9661016949152542
