Fold,Classifier,F1,Balanced_Accuracy,Precision,MCC,Recall,ROC_AUC,F2,Specificity,Negative_PV,Best_Params,Repetition
0,SVM,0.9538461538461539,0.9558823529411764,1.0,0.9310874388089504,0.9117647058823529,0.9558823529411764,0.9538461538461539,1.0,0.9508196721311475,"{'kernel': 'linear', 'C': 0.14737617267702893}",1
1,SVM,0.9705882352941176,0.9766734279918864,0.9705882352941176,0.9533468559837728,0.9705882352941176,0.9766734279918864,0.9705882352941176,0.9827586206896551,0.9827586206896551,"{'kernel': 'linear', 'C': 0.313067597143956}",1
2,SVM,0.9538461538461539,0.9558823529411764,1.0,0.9310874388089504,0.9117647058823529,0.9558823529411764,0.9538461538461539,1.0,0.9508196721311475,"{'kernel': 'linear', 'C': 0.14555323307061804}",1
3,SVM,0.9411764705882353,0.9483709273182956,0.9696969696969697,0.9077283820534893,0.9142857142857143,0.9483709273182956,0.9411764705882353,0.9824561403508771,0.9491525423728814,"{'kernel': 'linear', 'C': 0.8510874524901653}",1
4,SVM,0.9565217391304348,0.96265664160401,0.9705882352941176,0.9306937369777978,0.9428571428571428,0.96265664160401,0.9565217391304348,0.9824561403508771,0.9655172413793104,"{'kernel': 'linear', 'C': 0.03848627418737586}",1
0,SVM,0.9696969696969697,0.9705882352941176,1.0,0.9538364228569945,0.9411764705882353,0.9705882352941176,0.9696969696969697,1.0,0.9666666666666667,"{'kernel': 'linear', 'C': 0.050500012539642744}",2
1,SVM,0.9253731343283582,0.9386409736308317,0.9393939393939394,0.8828962497127828,0.9117647058823529,0.9386409736308317,0.9253731343283582,0.9655172413793104,0.9491525423728814,"{'kernel': 'sigmoid', 'C': 39.376211058842856, 'gamma': 0.005022995071677258}",2
2,SVM,0.927536231884058,0.9447261663286004,0.9142857142857143,0.8843103004653615,0.9411764705882353,0.9447261663286004,0.927536231884058,0.9482758620689655,0.9649122807017544,"{'kernel': 'linear', 'C': 1.0127666482349018}",2
3,SVM,0.9295774647887324,0.9451127819548872,0.9166666666666666,0.8855768346738705,0.9428571428571428,0.9451127819548872,0.9295774647887324,0.9473684210526315,0.9642857142857143,"{'kernel': 'linear', 'C': 0.3417931544393271}",2
4,SVM,0.9552238805970149,0.9571428571428571,1.0,0.931971796017148,0.9142857142857143,0.9571428571428571,0.9552238805970149,1.0,0.95,"{'kernel': 'sigmoid', 'C': 42.67747883183368, 'gamma': 0.002663125728108641}",2
0,SVM,0.9411764705882353,0.9533468559837728,0.9411764705882353,0.9066937119675457,0.9411764705882353,0.9533468559837729,0.9411764705882353,0.9655172413793104,0.9655172413793104,"{'kernel': 'linear', 'C': 2.2298179974810277}",3
1,SVM,0.8852459016393442,0.8970588235294117,1.0,0.8417822076213498,0.7941176470588235,0.8970588235294117,0.8852459016393442,1.0,0.8923076923076924,"{'kernel': 'rbf', 'C': 11.07292398191648, 'gamma': 0.0008696153155758672}",3
2,SVM,0.9411764705882353,0.9533468559837728,0.9411764705882353,0.9066937119675457,0.9411764705882353,0.9533468559837729,0.9411764705882353,0.9655172413793104,0.9655172413793104,"{'kernel': 'linear', 'C': 1.290297616937789}",3
3,SVM,0.9722222222222222,0.9824561403508771,0.9459459459459459,0.9553820492992744,1.0,0.9824561403508771,0.9722222222222222,0.9649122807017544,1.0,"{'kernel': 'rbf', 'C': 6.219433741551288, 'gamma': 0.035172296899482806}",3
4,SVM,0.9411764705882353,0.9483709273182956,0.9696969696969697,0.9077283820534893,0.9142857142857143,0.9483709273182956,0.9411764705882353,0.9824561403508771,0.9491525423728814,"{'kernel': 'sigmoid', 'C': 74.15112759376389, 'gamma': 0.0005800912740705275}",3
0,SVM,0.9375,0.9411764705882353,1.0,0.908530101301843,0.8823529411764706,0.9411764705882353,0.9375,1.0,0.9354838709677419,"{'kernel': 'linear', 'C': 0.1440410020252618}",4
1,SVM,0.9552238805970149,0.9619675456389452,0.9696969696969697,0.9298479577899943,0.9411764705882353,0.9619675456389452,0.9552238805970149,0.9827586206896551,0.9661016949152542,"{'kernel': 'linear', 'C': 0.11825179757326151}",4
2,SVM,0.9850746268656716,0.9852941176470589,1.0,0.9767996658672059,0.9705882352941176,0.9852941176470589,0.9850746268656716,1.0,0.9830508474576272,"{'kernel': 'linear', 'C': 0.11349600672632336}",4
3,SVM,0.9714285714285714,0.9769423558897243,0.9714285714285714,0.9538847117794487,0.9714285714285714,0.9769423558897243,0.9714285714285714,0.9824561403508771,0.9824561403508771,"{'kernel': 'linear', 'C': 1.8392845772935786}",4
4,SVM,0.9714285714285714,0.9769423558897243,0.9714285714285714,0.9538847117794487,0.9714285714285714,0.9769423558897243,0.9714285714285714,0.9824561403508771,0.9824561403508771,"{'kernel': 'linear', 'C': 0.3110771056370194}",4
0,SVM,0.9206349206349206,0.9264705882352942,1.0,0.8861418804606043,0.8529411764705882,0.9264705882352942,0.9206349206349206,1.0,0.9206349206349206,"{'kernel': 'linear', 'C': 0.059388819843008166}",5
1,SVM,0.9538461538461539,0.9558823529411764,1.0,0.9310874388089504,0.9117647058823529,0.9558823529411764,0.9538461538461539,1.0,0.9508196721311475,"{'kernel': 'sigmoid', 'C': 8.415554266349838, 'gamma': 0.005338730321574324}",5
2,SVM,0.9696969696969697,0.9705882352941176,1.0,0.9538364228569945,0.9411764705882353,0.9705882352941176,0.9696969696969697,1.0,0.9666666666666667,"{'kernel': 'rbf', 'C': 6.728527647708605, 'gamma': 0.013086807942565715}",5
