,median,mean,std,ci_low,ci_high
F1,0.9696969696969697,0.9622703065032681,0.02062151222200541,0.9577464788732394,0.9705882352941176
Balanced_Accuracy,0.9705882352941176,0.967118130010625,0.017626653636725047,0.9662562815507328,0.9714285714285714
Precision,0.9861111111111112,0.9797088727475348,0.023749522615201673,0.9714180672268907,1.0
MCC,0.9538364228569945,0.9414313642636185,0.0309149507210061,0.9426593260004603,0.9538605673182217
Recall,0.9420168067226891,0.9464201680672266,0.03390985278576514,0.9411764705882353,0.9567226890756302
ROC_AUC,0.9705882352941176,0.967118130010625,0.01762665363672505,0.9654135338345865,0.9714285714285714
F2,0.9696969696969697,0.9622703065032681,0.02062151222200541,0.9577311696264543,0.9705882352941176
Specificity,0.9913793103448276,0.987816091954023,0.014466156908985629,0.9827586206896551,1.0
Negative_PV,0.9666666666666667,0.9690787462192948,0.018304187978317735,0.9661016949152542,0.9744047619047619
