,median,mean,std,ci_low,ci_high
F1,0.9552238805970149,0.9550999365948484,0.023542599888502543,0.9538461538461539,0.9701426024955437
Balanced_Accuracy,0.9619675456389452,0.9611875835633709,0.01973300149929924,0.9558823529411764,0.9705987394957983
Precision,0.9714285714285714,0.9745777551806963,0.029974305041569532,0.9705882352941176,1.0
MCC,0.9310874388089504,0.9304324289427857,0.035763129961203455,0.9298479577899943,0.9538364228569945
Recall,0.9411764705882353,0.9376806722689075,0.03708896047797662,0.9411764705882353,0.9428571428571428
ROC_AUC,0.9619675456389452,0.9611875835633709,0.019733001499299248,0.9558823529411764,0.9710084033613445
F2,0.9552238805970149,0.9550999365948484,0.023542599888502543,0.9538461538461539,0.9701426024955437
Specificity,0.9827586206896551,0.9846944948578343,0.01828332893437261,0.9824561403508771,1.0
Negative_PV,0.9658094681472823,0.9641224576038647,0.01998427657675907,0.9645989974937343,0.9666666666666667
