,median,mean,std,ci_low,ci_high
F1,0.9130252100840336,0.9058483451500886,0.03855672071032292,0.9038292253521127,0.9253731343283582
Balanced_Accuracy,0.9325557809330629,0.9230814968455623,0.030686148535351582,0.9199443239183152,0.9363408521303258
Precision,0.9226190476190477,0.9212440825925421,0.04998565631771959,0.90625,0.953935009487666
MCC,0.8615665733660633,0.8526906946394276,0.060062933622385496,0.8439925398761458,0.8843103004653615
Recall,0.9117647058823529,0.8934285714285712,0.0512821802909587,0.8823529411764706,0.9142857142857143
ROC_AUC,0.9325557809330629,0.9230814968455623,0.030686148535351555,0.9199525182123666,0.937376167345341
F2,0.9130252100840336,0.9058483451500886,0.03855672071032292,0.9038292253521127,0.9253731343283582
Specificity,0.95659407138536,0.9527344222625529,0.03244393510265029,0.9478221415607986,0.9655172413793104
Negative_PV,0.9464285714285714,0.9382536088160139,0.02771172850954664,0.9333333333333333,0.9491382963179427
